Row(host=u'128.159.129.170', frequency=161, totalBytes=399504, averageSize=2481.391304347826)
Row(host=u'163.205.2.132', frequency=161, totalBytes=424792, averageSize=2638.4596273291927)
Row(host=u'ottgate3.bnr.ca', frequency=161, totalBytes=1863655, averageSize=11575.496894409938)
Row(host=u'ri004391.rdyne.rockwell.com', frequency=161, totalBytes=1106649, averageSize=6873.596273291925)
Row(host=u'164.86.39.45', frequency=161, totalBytes=5654440, averageSize=35120.74534161491)
Row(host=u'128.217.61.144', frequency=161, totalBytes=1071004, averageSize=6652.198757763975)
Row(host=u'oceana.sdsc.edu', frequency=161, totalBytes=3834856, averageSize=23818.981366459626)
Row(host=u'cblain.amgen.com', frequency=161, totalBytes=5127704, averageSize=31849.093167701863)
Row(host=u'163.205.3.60', frequency=162, totalBytes=650419, averageSize=4014.932098765432)
Row(host=u'n1377014.ksc.nasa.gov', frequency=162, totalBytes=429756, averageSize=2652.814814814815)
Row(host=u'128.217.62.48', frequency=162, totalBytes=491842, averageSize=3036.061728395062)
Row(host=u'n1144635.ksc.nasa.gov', frequency=162, totalBytes=642347, averageSize=3965.104938271605)
Row(host=u'n1132651.ksc.nasa.gov', frequency=162, totalBytes=412270, averageSize=2544.8765432098767)
Row(host=u'nmpch.nokia.com', frequency=162, totalBytes=2355979, averageSize=14543.08024691358)
Row(host=u'128.159.144.193', frequency=162, totalBytes=305039, averageSize=1882.9567901234568)
Row(host=u'ojmac.larc.nasa.gov', frequency=162, totalBytes=1865724, averageSize=11516.814814814816)
Row(host=u'www-e1a.gnn.com', frequency=162, totalBytes=1834565, averageSize=11324.475308641975)
Row(host=u'n862263.ksc.nasa.gov', frequency=163, totalBytes=571840, averageSize=3508.2208588957055)
Row(host=u'128.159.135.72', frequency=163, totalBytes=841433, averageSize=5162.165644171779)
Row(host=u'barb.wchat.on.ca', frequency=163, totalBytes=4742400, averageSize=29094.478527607364)
Row(host=u'bbcc-123.tamu.edu', frequency=163, totalBytes=17685772, averageSize=108501.66871165644)
Row(host=u'168.239.2.116', frequency=163, totalBytes=7370225, averageSize=45216.10429447853)
Row(host=u'163.206.10.6', frequency=163, totalBytes=532487, averageSize=3266.7914110429447)
Row(host=u'n1122774.ksc.nasa.gov', frequency=164, totalBytes=576157, averageSize=3513.1524390243903)
Row(host=u'gatekeeper.homecare.com', frequency=164, totalBytes=9271472, averageSize=56533.365853658535)
Row(host=u'imp01.fanshawec.on.ca', frequency=164, totalBytes=4114521, averageSize=25088.54268292683)
Row(host=u'n1028246.ksc.nasa.gov', frequency=164, totalBytes=534288, averageSize=3257.8536585365855)
Row(host=u'129.79.254.191', frequency=164, totalBytes=14279119, averageSize=87067.7987804878)
Row(host=u'n1032025.ksc.nasa.gov', frequency=165, totalBytes=426751, averageSize=2586.369696969697)
Row(host=u'indy2.indy.net', frequency=165, totalBytes=2840987, averageSize=17218.10303030303)
Row(host=u'michelmoore.controller.umb.edu', frequency=165, totalBytes=7635378, averageSize=46275.01818181818)
Row(host=u'bjk.olivetti.za', frequency=165, totalBytes=2784957, averageSize=16878.52727272727)
Row(host=u'gallux.gallaudet.edu', frequency=165, totalBytes=1377658, averageSize=8349.442424242425)
Row(host=u'wawa.geo.umass.edu', frequency=165, totalBytes=2618805, averageSize=15871.545454545454)
Row(host=u'p17.euronet.nl', frequency=165, totalBytes=4951375, averageSize=30008.333333333332)
Row(host=u'163.206.137.5', frequency=166, totalBytes=1157976, averageSize=6975.759036144578)
Row(host=u'icewall.ceco.com', frequency=166, totalBytes=5197486, averageSize=31310.156626506025)
Row(host=u'delombard.lerc.nasa.gov', frequency=166, totalBytes=4398242, averageSize=26495.433734939757)
Row(host=u'usstyx.glaxo.com', frequency=166, totalBytes=3099552, averageSize=18672.0)
Row(host=u'iputt.rmplc.co.uk', frequency=166, totalBytes=4642551, averageSize=27967.17469879518)
Row(host=u'134.120.220.153', frequency=166, totalBytes=1233992, averageSize=7433.686746987952)
Row(host=u'eplet.mira.net.au', frequency=167, totalBytes=4718133, averageSize=28252.29341317365)
Row(host=u'uuneo.neosoft.com', frequency=167, totalBytes=2060152, averageSize=12336.239520958085)
Row(host=u'128.159.140.127', frequency=168, totalBytes=431275, averageSize=2567.1130952380954)
Row(host=u'163.205.23.117', frequency=168, totalBytes=488545, averageSize=2908.0059523809523)
Row(host=u'ps2-18.uqac.uquebec.ca', frequency=168, totalBytes=3034586, averageSize=18063.011904761905)
